config	seed	mode	source	banks	bigram_buckets	value_scale	q_mod_scale	k_mod_scale	v_mod_scale	peak_vram_mb	val_bpb	num_steps	attnres_final_latest	attnres_final_x0	attnres_final_register	attnres_final_entropy	attnres_final_memory_rms	attnres_final_memory_mod_q_delta_norm	attnres_final_memory_mod_k_delta_norm	attnres_final_memory_mod_v_delta_norm	attnres_final_memory_mod_k_scale_mean	attnres_final_memory_mod_v_scale_mean	attnres_wte_grad_norm	attnres_final_memory_embed_grad_norm	attnres_final_memory_q_mod_proj_grad_norm	attnres_final_memory_k_mod_proj_grad_norm	attnres_final_memory_v_mod_proj_grad_norm
modqkv_q002_k008_v002	47	modqkv	tied_bigram	4	1048576	0.25	0.02	0.08	0.02	15665.0	2.019672	264	0.039473	0.148843	0.000000	1.145739	0.249995	0.287104	1.325986	0.287182	1.004405	0.999808	0.117274	0.045061	0.040291	0.001934	0.001050
modqkv_q003_k008_v002	47	modqkv	tied_bigram	4	1048576	0.25	0.03	0.08	0.02	15665.0	2.016378	264	0.025803	0.184858	0.000000	0.967832	0.249996	0.423332	1.306372	0.282595	1.003143	0.999592	0.122243	0.047087	0.047185	0.002098	0.001087
modqkv_q003_k010_v002	47	modqkv	tied_bigram	4	1048576	0.25	0.03	0.10	0.02	15665.0	2.016077	264	0.026074	0.185096	0.000000	0.976490	0.249995	0.422203	1.631481	0.282478	1.003920	0.999597	0.122051	0.046889	0.048139	0.002650	0.001086
modqkv_q004_k010_v002	47	modqkv	tied_bigram	4	1048576	0.25	0.04	0.10	0.02	15665.0	2.016123	264	0.020390	0.208748	0.000000	0.884814	0.249994	0.513598	1.597869	0.284808	1.004943	0.999501	0.123416	0.045353	0.059754	0.002807	0.001079
strong_baseline	48	off	off	0	0	0.0	0.0	0.0	0.0	3199.8	2.100819	264	0.000673	0.598694	0.000000	0.686767							0.141231				
blend_ngram_ref	48	static	tied_bigram	4	1048576	0.25	0.0	0.0	0.0	15748.0	1.842246	264	0.400329	0.093998	0.000000	1.080358	0.249995						0.076255	0.132253			
modqkv_q001_k002_v002	48	modqkv	tied_bigram	4	1048576	0.25	0.01	0.02	0.02	15665.0	2.001426	264	0.035767	0.299368	0.000000	1.192312	0.249995	0.143469	0.311234	0.272257	1.000223	0.999408	0.121997	0.040091	0.019970	0.000511	0.001179
modqkv_q002_k005_v005	48	modqkv	tied_bigram	4	1048576	0.25	0.02	0.05	0.05	15665.0	1.997346	264	0.029943	0.308850	0.000000	1.121494	0.249994	0.274164	0.781571	0.684518	1.000049	0.998613	0.118565	0.044624	0.035130	0.001262	0.002885
modqkv_q002_k005_v002	48	modqkv	tied_bigram	4	1048576	0.25	0.02	0.05	0.02	15665.0	2.000845	264	0.030410	0.335351	0.000000	1.100428	0.249996	0.271543	0.785574	0.278099	0.999565	0.999433	0.119859	0.042663	0.034025	0.001234	0.001140
modqkv_q002_k008_v002	48	modqkv	tied_bigram	4	1048576	0.25	0.02	0.08	0.02	15665.0	2.003323	264	0.029434	0.337776	0.000000	1.091717	0.249995	0.272797	1.254158	0.280082	1.000374	0.999451	0.119638	0.042280	0.033740	0.002008	0.001117
modqkv_q003_k008_v002	48	modqkv	tied_bigram	4	1048576	0.25	0.03	0.08	0.02	15665.0	2.003633	264	0.022044	0.281300	0.000000	1.069978	0.249993	0.380884	1.242562	0.284968	0.999871	0.999467	0.120296	0.045121	0.049124	0.002107	0.001107
modqkv_q003_k010_v002	48	modqkv	tied_bigram	4	1048576	0.25	0.03	0.10	0.02	15665.0	2.002583	264	0.022653	0.277971	0.000000	1.074945	0.249995	0.380209	1.547084	0.284990	0.999759	0.999465	0.120551	0.045236	0.049912	0.002688	0.001111
modqkv_q004_k010_v002	48	modqkv	tied_bigram	4	1048576	0.25	0.04	0.10	0.02	15665.0	2.001798	264	0.022321	0.257927	0.000000	1.042184	0.249995	0.457567	1.535895	0.284353	1.001892	0.999423	0.122502	0.048366	0.060960	0.002654	0.001106
