config	count	mean_val_bpb	std_val_bpb	mean_final_latest	mean_final_x0	mean_final_entropy	mean_q_delta_norm	mean_k_delta_norm	mean_v_delta_norm
strong_baseline	4	2.12569125	0.024058225634645256	0.001341	0.46635024999999997	0.65745225			
blend_ngram_ref	4	1.8407997500000002	0.0033217328591414372	0.2514405	0.18261375000000002	1.4905982500000001			
modqkv_q001_k002_v002	4	2.0228355000000002	0.01963521805964994	0.046919749999999996	0.17725775	1.20393975	0.14468275000000003	0.3244235	0.28429225
modqkv_q002_k005_v005	4	2.0046405000000003	0.011433840944756956	0.034881749999999996	0.19510475	1.1362535	0.27889275	0.801879	0.699127
modqkv_q002_k005_v002	4	2.00991775	0.011136314008122277	0.035381249999999996	0.21100325000000003	1.142709	0.27686175	0.80540025	0.28542675
modqkv_q002_k008_v002	4	2.01005325	0.010692811028326471	0.0346745	0.21131775000000003	1.14717325	0.27723875	1.2867080000000002	0.28594375
modqkv_q003_k008_v002	4	2.0103945000000003	0.009147408881754462	0.027785750000000005	0.20927274999999998	1.0467392500000001	0.39375975	1.27220175	0.28652825000000004
modqkv_q003_k010_v002	4	2.0101395	0.009449261174822093	0.027769000000000002	0.20864100000000002	1.04986025	0.39330525	1.587119	0.28652825000000004
modqkv_q004_k010_v002	4	2.01217325	0.01099910115361705	0.02499	0.21164925	0.9717480000000001	0.47947025	1.56564275	0.28750125
