config	seed	peak_vram_mb	val_bpb	num_steps	attnres_final_memory_delta_norm	attnres_final_memory_gate
golf_final_lightblend_r32_b16384_c085	45	4603.0	2.615252	64	7.385029	0.835938
golf_final_lightblend_r48_b16384_c085	45	4609.5	2.605292	64	7.518100	0.835938
golf_final_lightblend_r64_b16384_c085	45	4610.0	2.598563	64	6.912205	0.835938
golf_final_lightblend_r32_b32768_c085	45	4609.0	2.609083	64	7.491154	0.835938
golf_final_lightblend_r48_b32768_c085	45	4621.5	2.594941	64	7.335482	0.835938
golf_final_lightblend_r64_b32768_c085	45	4622.0	2.593126	64	7.673684	0.835938
golf_final_lightblend_r64_b32768_c090	45	4622.0	2.576849	64	11.155197	0.882812
golf_final_lightblend_r32_b16384_c085	46	4603.0	2.595843	64	7.180619	0.835938
golf_final_lightblend_r48_b16384_c085	46	4609.5	2.596838	64	7.177282	0.835938
golf_final_lightblend_r64_b16384_c085	46	4610.0	2.600695	64	7.194025	0.835938
golf_final_lightblend_r32_b32768_c085	46	4609.0	2.590010	64	7.343207	0.835938
golf_final_lightblend_r48_b32768_c085	46	4621.5	2.594135	64	7.127374	0.835938
golf_final_lightblend_r64_b32768_c085	46	4622.0	2.594651	64	7.521451	0.835938
golf_final_lightblend_r64_b32768_c090	46	4622.0	2.567670	64	10.562756	0.882812
