config	seed	peak_vram_mb	val_bpb	num_steps	attnres_final_memory_delta_norm	attnres_final_memory_gate
golf_attnres_tiny	47	4579.6	2.724600	64		
golf_final_lightblend_r96_b65536_c090	47	4673.0	2.541740	64	10.786312	0.882812
golf_final_lightblend_r64_b32768_c095	47	4622.0	2.544850	64	18.268349	0.929688
golf_attnres_tiny	48	4579.6	2.655099	64		
golf_final_lightblend_r96_b65536_c090	48	4673.0	2.550139	64	10.798861	0.882812
golf_final_lightblend_r64_b32768_c095	48	4622.0	2.553396	64	18.082294	0.929688
