config	mean_val_bpb	std_val_bpb	mean_memory_total	mean_embed_grad_norm	mean_unified_proj_grad_norm
strong_baseline	2.154041	0.05556006701309864	0.0	0.0	0.0
blend_ngram_ref	1.8409702499999998	0.001773358448678642	0.0	0.1318425	0.0
unified_bigram_only_static	1.94064375	0.029115507735354696	0.84997575	451.7541735	0.0
unified_bigram_only_projected	1.9270792500000002	0.027123557660961483	0.8498795	548.944992	0.011524000000000001
unified_ngram_static	1.88505425	0.004387605917524944	0.85	337.122757	0.0
unified_ngram_projected	1.8699107499999998	0.004678904913278342	0.85	489.72348775	0.07168474999999999
