config	mean_val_bpb	std_val_bpb	n
static_full_s025_c085	2.048350	0.003479	4
tied_s020_c080	2.050992	0.008073	4
tied_s020_c085	2.052356	0.002905	4
tied_s025_c080	2.049048	0.002754	4
tied_s025_c085	2.050510	0.000981	4
tied_s025_c090	2.055198	0.003685	4
tied_s030_c085	2.054092	0.002646	4
tied_s03125_c085	2.051512	0.002104	4
